allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000004521-KanMX,cmp2,Disruption marked with KanMX,NA,NA,NA
S000004522-KanMX,yml057c-a,Disruption marked with KanMX,NA,NA,NA
S000004520-KanMX,imd4,Disruption marked with KanMX,NA,NA,NA
S000004519-KanMX,spc2,Disruption marked with KanMX,NA,NA,NA
S000004518-KanMX,cyb2,Disruption marked with KanMX,NA,NA,NA
S000004517-KanMX,yml053c,Disruption marked with KanMX,NA,NA,NA
S000004516-KanMX,sur7,Disruption marked with KanMX,NA,NA,NA
S000004515-KanMX,gal80,Disruption marked with KanMX,NA,NA,NA
S000004514-KanMX,aim32,Disruption marked with KanMX,NA,NA,NA
S000004511-KanMX,gsf2,Disruption marked with KanMX,NA,NA,NA
S000004512-KanMX,yml047w-a,Disruption marked with KanMX,NA,NA,NA
S000004501-KanMX,yml037c,Disruption marked with KanMX,NA,NA,NA
S000004498-KanMX,amd1,Disruption marked with KanMX,NA,NA,NA
S000004497-KanMX,src1,Disruption marked with KanMX,NA,NA,NA
S000004499-KanMX,yml034c-a,Disruption marked with KanMX,NA,NA,NA
S000004494-KanMX,rad52,Disruption marked with KanMX,NA,NA,NA
S000004492-KanMX,rcf1,Disruption marked with KanMX,NA,NA,NA
S000004491-KanMX,usa1,Disruption marked with KanMX,NA,NA,NA
S000004490-KanMX,tsa1,Disruption marked with KanMX,NA,NA,NA
S000004488-KanMX,rps18b,Disruption marked with KanMX,NA,NA,NA
S000004486-KanMX,rps17a,Disruption marked with KanMX,NA,NA,NA
S000004482-KanMX,yml020w,Disruption marked with KanMX,NA,NA,NA
S000004481-KanMX,ost6,Disruption marked with KanMX,NA,NA,NA
S000004480-KanMX,yml018c,Disruption marked with KanMX,NA,NA,NA
S000004479-KanMX,psp2,Disruption marked with KanMX,NA,NA,NA
S000004478-KanMX,ppz1,Disruption marked with KanMX,NA,NA,NA
S000004476-KanMX,trm9,Disruption marked with KanMX,NA,NA,NA
S000004475-KanMX,ubx2,Disruption marked with KanMX,NA,NA,NA
S000004474-KanMX,yml012c-a,Disruption marked with KanMX,NA,NA,NA
S000004473-KanMX,erv25,Disruption marked with KanMX,NA,NA,NA
