"allele_id","item_id"
"S000004549-KanMX","rec20486"
"S000004549","rec20486"
"S000004548-KanMX","rec20487"
"S000004548","rec20487"
"S000004547-KanMX","rec20488"
"S000004547","rec20488"
"S000004546-KanMX","rec20489"
"S000004546","rec20489"
"S000004545-KanMX","rec20490"
"S000004545","rec20490"
"S000004544-KanMX","rec20491"
"S000004544","rec20491"
"S000004543-KanMX","rec20492"
"S000004543","rec20492"
"S000004530-KanMX","rec20505"
"S000004530","rec20505"
"S000004529-KanMX","rec20506"
"S000004529","rec20506"
"S000004528-KanMX","rec20507"
"S000004528","rec20507"
"S000004527-KanMX","rec20508"
"S000004527","rec20508"
"S000004526-KanMX","rec20509"
"S000004526","rec20509"
"S000004525-KanMX","rec20510"
"S000004525","rec20510"
"S000004524-KanMX","rec20511"
"S000004524","rec20511"
"S000004523-KanMX","rec20512"
"S000004523","rec20512"
"S000004521-KanMX","rec20513"
"S000004521","rec20513"
"S000004522-KanMX","rec20514"
"S000004522","rec20514"
"S000004520-KanMX","rec20515"
"S000004520","rec20515"
"S000004519-KanMX","rec20516"
"S000004519","rec20516"
"S000004518-KanMX","rec20517"
"S000004518","rec20517"
"S000004517-KanMX","rec20518"
"S000004517","rec20518"
"S000004516-KanMX","rec20519"
"S000004516","rec20519"
"S000004515-KanMX","rec20520"
"S000004515","rec20520"
"S000004514-KanMX","rec20521"
"S000004514","rec20521"
"S000004513-KanMX","rec20522"
"S000004513","rec20522"
"S000004511-KanMX","rec20523"
"S000004511","rec20523"
"S000004512-KanMX","rec20524"
"S000004512","rec20524"
"S000004507-KanMX","rec20528"
"S000004507","rec20528"
"S000004501-KanMX","rec20534"
"S000004501","rec20534"
"S000004497-KanMX","rec20537"
"S000004497","rec20537"
"S000004499-KanMX","rec20538"
"S000004499","rec20538"
"S000004497-KanMX","rec20539"
"S000004497","rec20539"
"S000004494-KanMX","rec20540"
"S000004494","rec20540"
"S000004492-KanMX","rec20543"
"S000004492","rec20543"
"S000004491-KanMX","rec20544"
"S000004491","rec20544"
"S000004490-KanMX","rec20545"
"S000004490","rec20545"
"S000004488-KanMX","rec20547"
"S000004488","rec20547"
"S000004487-KanMX","rec20548"
"S000004487","rec20548"
"S000004486-KanMX","rec20549"
"S000004486","rec20549"
"S000004485-KanMX","rec20550"
"S000004485","rec20550"
"S000004482-KanMX","rec20553"
"S000004482","rec20553"
"S000004481-KanMX","rec20554"
"S000004481","rec20554"
"S000004480-KanMX","rec20555"
"S000004480","rec20555"
"S000004479-KanMX","rec20556"
"S000004479","rec20556"
"S000004478-KanMX","rec20557"
"S000004478","rec20557"
"S000004477-KanMX","rec20558"
"S000004477","rec20558"
"S000004476-KanMX","rec20559"
"S000004476","rec20559"
"S000004475-KanMX","rec20560"
"S000004475","rec20560"
"S000004474-KanMX","rec20561"
"S000004474","rec20561"
"S000004473-KanMX","rec20562"
"S000004473","rec20562"
"S000004472-KanMX","rec20563"
"S000004472","rec20563"
"S000004470-KanMX","rec20564"
"S000004470","rec20564"
"S000004471-KanMX","rec20565"
"S000004471","rec20565"
"S000004468-KanMX","rec20567"
"S000004468","rec20567"
"S000004467-KanMX","rec20568"
"S000004467","rec20568"
"S000004466-KanMX","rec20569"
"S000004466","rec20569"
"S000004465-KanMX","rec20570"
"S000004465","rec20570"
"S000004464-KanMX","rec20571"
"S000004464","rec20571"
"S000004463-KanMX","rec20572"
"S000004463","rec20572"
"S000004462-KanMX","rec20573"
"S000004462","rec20573"
"S000004461-KanMX","rec20574"
"S000004461","rec20574"
"S000004460-KanMX","rec20575"
"S000004460","rec20575"
"S000004603-KanMX","rec20576"
"S000004603","rec20576"
"S000004604-KanMX","rec20577"
"S000004604","rec20577"
